"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"9230009I02Rik",65.6922194963172,-1.62498141282771,0.256416545824702,-6.33727206487922,2.33868818023297e-10,7.03876675261796e-09
"Gm51864",47.9847647377826,-1.15716634556284,0.312144922945373,-3.70714453608252,0.000209609325181966,0.00184344842358367
"Cfap52",33.5091562005642,1.15965553970907,0.301227198416069,3.84977035874197,0.000118228619029728,0.00112104835704256
"Odf4",93.5573944007587,-1.9197965663844,0.190095127038555,-10.0991361340632,5.57309456635696e-24,7.161793168727e-22
"Gm51902",58.1163545191075,-1.36937081819716,0.22047283868601,-6.21106357752924,5.26271740028829e-10,1.48980665188161e-08
"n-TTagt5",9.18880956355794,-1.6428358818885,0.538447788686808,-3.05105883319741,0.00228035887162072,0.0136625674118851
"n-TScga3",8.32002563348652,-1.69500848255917,0.639739400101963,-2.64952960891421,0.00806039089927409,0.0380693216210426
"Spem1",11.2190871155252,-1.91683456258126,0.53027662796075,-3.61478228816666,0.00030060012320061,0.00251138674357465
"Ggt6",7.64210200904724,1.75360010570364,0.653967700202096,2.68147816040719,0.00732976986718285,0.0353424820576852
"Slc6a4",12.0080869833543,-1.97215897771945,0.528489327455515,-3.73169120976327,0.000190198560323301,0.00169641483050002
